mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
88.87377993265788,0.5871157522434831,4.888735135396321,0.014611730738966586,True,balanced,gini,2,sqrt,2,20,1500,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 1500}",0.7593457943925234,0.7621851488387308,0.759474741810365,0.7603352283472065,0.0013091501640029473,85
114.0489736398061,1.0768516413809581,5.782171646753947,0.18941608829977838,True,balanced,gini,2,sqrt,2,20,1750,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 1750}",0.7568691588785047,0.7591943548763961,0.7579793448291976,0.7580142861946996,0.0009495787772901825,105
131.57893347740173,0.5724088481367207,6.488556146621704,0.044953013153757895,True,balanced,gini,2,sqrt,2,20,2000,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 2000}",0.7563084112149533,0.7620449553717463,0.7591008925650732,0.7591514197172575,0.0023422068597144267,92
98.8204329808553,0.7077689669082792,5.315528313318889,0.2997210423968615,True,balanced,gini,2,sqrt,4,5,1500,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 1500}",0.7569626168224299,0.760549558390579,0.7564839478480303,0.757998707687013,0.0018142786409801805,106
116.12377858161926,2.1197709696851765,5.949215014775594,0.2186496636107707,True,balanced,gini,2,sqrt,4,5,1750,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 1750}",0.757803738317757,0.7578391513622131,0.759474741810365,0.7583725438301118,0.0007795057458352323,103
131.75898655255637,1.281453909476233,6.509986877441406,0.020306286909597578,True,balanced,gini,2,sqrt,4,5,2000,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 5, 'n_estimators': 2000}",0.7593925233644859,0.7605028272349175,0.7598953222113183,0.7599302242702405,0.00045395101531742004,87
97.31682093938191,0.8370541142227872,4.873806556065877,0.032363940031080764,True,balanced,gini,2,sqrt,4,10,1500,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 1500}",0.7576168224299066,0.7608299453245478,0.757138184027291,0.7585283172605818,0.001639185262814336,102
114.96616498629253,1.3625611447907784,5.723526398340861,0.1574721944963161,True,balanced,gini,2,sqrt,4,10,1750,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 1750}",0.7570093457943925,0.7599887845226413,0.76531613626805,0.7607714221950279,0.0034360911210260052,82
130.98765699068704,0.9163482052347028,6.46288537979126,0.042903645606196854,True,balanced,gini,2,sqrt,4,10,2000,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 10, 'n_estimators': 2000}",0.7574299065420561,0.7597551287443338,0.7601289779896256,0.7591046710920052,0.0011940318359451808,93
95.82399741808574,0.3566962109872718,4.785140196482341,0.04299475789330473,True,balanced,gini,2,sqrt,4,20,1500,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 1500}",0.7564018691588785,0.7590541614094116,0.7610168699471938,0.7588243001718279,0.0018910641114542111,99
112.98680528004964,0.7047155935444905,5.562464316685994,0.07299376745869064,True,balanced,gini,2,sqrt,4,20,1750,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 1750}",0.7574299065420561,0.7600355156783027,0.7590074302537502,0.7588242841580364,0.0010715896640052717,100
128.29233733812967,1.0297772712894797,6.5879402955373125,0.04229593287161658,True,balanced,gini,2,sqrt,4,20,2000,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'max_features': 'sqrt', 'min_samples_leaf': 4, 'min_samples_split': 20, 'n_estimators': 2000}",0.7557943925233644,0.7600355156783027,0.7612037945698397,0.759011234257169,0.002324115881701035,97
