mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1.0116573174794514,0.00818130108295758,0.04933889706929525,0.005439349560065039,balanced,gini,2,2,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.699626168224299,0.6764334781999158,0.6895182017851301,0.688525949403115,0.009494336600801966,55
0.94365127881368,0.012687607730776955,0.05434028307596842,0.0020472047120991153,balanced,gini,2,2,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.699626168224299,0.6764334781999158,0.6895182017851301,0.688525949403115,0.009494336600801966,55
0.8649957180023193,0.0070742675099125735,0.05500404040018717,0.0061663909762207664,balanced,gini,2,2,20,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 2, 'min_samples_split': 20}",0.699626168224299,0.6764334781999158,0.6895182017851301,0.688525949403115,0.009494336600801966,55
0.8383371829986572,0.032067429872573834,0.056671857833862305,0.004909349408218125,balanced,gini,2,4,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.699626168224299,0.6764334781999158,0.6895182017851301,0.688525949403115,0.009494336600801966,55
0.9086616039276123,0.021199914327407022,0.05800151824951172,0.012355634465900404,balanced,gini,2,4,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.699626168224299,0.6764334781999158,0.6895182017851301,0.688525949403115,0.009494336600801966,55
0.8753340244293213,0.0036787799326678176,0.06833116213480632,0.007133656441495003,balanced,gini,2,4,20,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 2, 'min_samples_leaf': 4, 'min_samples_split': 20}",0.699626168224299,0.6764334781999158,0.6895182017851301,0.688525949403115,0.009494336600801966,55
1.8958622614542644,0.01960047606181412,0.04366612434387207,0.0033974174752766312,balanced,gini,5,2,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7268224299065421,0.7693350156549371,0.7770456563390813,0.7577343673001868,0.02208354440167993,37
1.8775355021158855,0.01920566287065732,0.059660911560058594,0.0069380563309071564,balanced,gini,5,2,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7268224299065421,0.7693350156549371,0.7770456563390813,0.7577343673001868,0.02208354440167993,37
1.8596648375193279,0.022230708745732873,0.04700350761413574,0.00432308704620969,balanced,gini,5,2,20,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 2, 'min_samples_split': 20}",0.7268224299065421,0.7693350156549371,0.7770456563390813,0.7577343673001868,0.02208354440167993,37
1.8009985287984211,0.017379114791156464,0.049346605936686196,0.002852324968786238,balanced,gini,5,4,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7268224299065421,0.7693350156549371,0.7770456563390813,0.7577343673001868,0.02208354440167993,37
2.118995189666748,0.2857653760655428,0.038668155670166016,0.0054353333466675225,balanced,gini,5,4,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7268224299065421,0.7693350156549371,0.7770456563390813,0.7577343673001868,0.02208354440167993,37
1.9009960492451985,0.04382589240424036,0.05533377329508463,0.019568774163275224,balanced,gini,5,4,20,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 4, 'min_samples_split': 20}",0.7268224299065421,0.7693350156549371,0.7770456563390813,0.7577343673001868,0.02208354440167993,37
3.6456483205159507,0.05733035656659411,0.04999987284342448,0.0066831612168426185,balanced,gini,10,2,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.7854205607476635,0.7756437216692369,0.7841955231552876,0.7817532685240627,0.004348954000995894,25
3.6146636803944907,0.03938428494027765,0.05066672960917155,0.007843643426888851,balanced,gini,10,2,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.7834579439252336,0.7742417869993925,0.7835412869760269,0.780413672633551,0.004364314816545499,26
3.604994853337606,0.07469052801597231,0.05233621597290039,0.006183893153691394,balanced,gini,10,2,20,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 2, 'min_samples_split': 20}",0.780607476635514,0.7704098322351511,0.7804570307023693,0.7771581131910116,0.0047721504858306354,29
3.6843761603037515,0.0599579211825533,0.06571284929911296,0.023694074006997596,balanced,gini,10,4,5,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.7844392523364486,0.7741483246880695,0.7822795457731669,0.7802890409325617,0.004430754646513258,27
4.0800736745198565,0.033089815073740286,0.04667250315348307,0.003308423470760798,balanced,gini,10,4,10,"{'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.7830841121495327,0.7736342819757933,0.7821393523061825,0.7796192488105028,0.004249550078132295,28
